    x-coordinate,    y-coordinate,     temperature
0.00025,0.00025,284.58
0.00075,0.00025,284.5825
0.00125,0.00025,284.5876
0.00175,0.00025,284.5951
0.00225,0.00025,284.6052
0.00275,0.00025,284.6179
0.00325,0.00025,284.6331
0.00375,0.00025,284.6509
0.00425,0.00025,284.6713
0.00475,0.00025,284.6943
0.00525,0.00025,284.7198
0.00575,0.00025,284.748
0.00625,0.00025,284.7787
0.00675,0.00025,284.812
0.00725,0.00025,284.848
0.00775,0.00025,284.8867
0.00825,0.00025,284.928
0.00875,0.00025,284.9721
0.00925,0.00025,285.0189
0.00975,0.00025,285.0684
0.01025,0.00025,285.1207
0.01075,0.00025,285.1759
0.01125,0.00025,285.2338
0.01175,0.00025,285.2946
0.01225,0.00025,285.3583
0.01275,0.00025,285.425
0.01325,0.00025,285.4946
0.01375,0.00025,285.5672
0.01425,0.00025,285.6427
0.01475,0.00025,285.7213
0.01525,0.00025,285.803
0.01575,0.00025,285.8878
0.01625,0.00025,285.9757
0.01675,0.00025,286.0668
0.01725,0.00025,286.161
0.01775,0.00025,286.2585
0.01825,0.00025,286.3593
0.01875,0.00025,286.4634
0.01925,0.00025,286.5708
0.01975,0.00025,286.6815
0.02025,0.00025,286.7956
0.02075,0.00025,286.9132
0.02125,0.00025,287.0341
0.02175,0.00025,287.1586
0.02225,0.00025,287.2865
0.02275,0.00025,287.4179
0.02325,0.00025,287.5529
0.02375,0.00025,287.6916
0.02425,0.00025,287.8338
0.02475,0.00025,287.9796
0.02525,0.00025,288.1291
0.02575,0.00025,288.2823
0.02625,0.00025,288.4392
0.02675,0.00025,288.5998
0.02725,0.00025,288.7641
0.02775,0.00025,288.9321
0.02825,0.00025,289.1039
0.02875,0.00025,289.2794
0.02925,0.00025,289.4588
0.02975,0.00025,289.6419
0.03025,0.00025,289.8289
0.03075,0.00025,290.0197
0.03125,0.00025,290.2143
0.03175,0.00025,290.4127
0.03225,0.00025,290.615
0.03275,0.00025,290.8213
0.03325,0.00025,291.0315
0.03375,0.00025,291.2455
0.03425,0.00025,291.4635
0.03475,0.00025,291.6854
0.03525,0.00025,291.9113
0.03575,0.00025,292.1411
0.03625,0.00025,292.3749
0.03675,0.00025,292.6127
0.03725,0.00025,292.8545
0.03775,0.00025,293.1004
0.03825,0.00025,293.3503
0.03875,0.00025,293.6042
0.03925,0.00025,293.8622
0.03975,0.00025,294.1243
0.04025,0.00025,294.3904
0.04075,0.00025,294.6607
0.04125,0.00025,294.935
0.04175,0.00025,295.2135
0.04225,0.00025,295.4959
0.04275,0.00025,295.7825
0.04325,0.00025,296.0729
0.04375,0.00025,296.3672
0.04425,0.00025,296.6653
0.04475,0.00025,296.9668
0.04525,0.00025,297.2716
0.04575,0.00025,297.5791
0.04625,0.00025,297.8888
0.04675,0.00025,298.1998
0.04725,0.00025,298.5113
0.04775,0.00025,298.8217
0.04825,0.00025,299.1295
0.04875,0.00025,299.433
0.04925,0.00025,299.7304
0.04975,0.00025,300.0204
0.00025,0.00075,284.5801
0.00075,0.00075,284.5826
0.00125,0.00075,284.5876
0.00175,0.00075,284.5952
0.00225,0.00075,284.6053
0.00275,0.00075,284.618
0.00325,0.00075,284.6333
0.00375,0.00075,284.6511
0.00425,0.00075,284.6714
0.00475,0.00075,284.6945
0.00525,0.00075,284.72
0.00575,0.00075,284.748
0.00625,0.00075,284.7788
0.00675,0.00075,284.8122
0.00725,0.00075,284.8482
0.00775,0.00075,284.8869
0.00825,0.00075,284.9282
0.00875,0.00075,284.9723
0.00925,0.00075,285.0191
0.00975,0.00075,285.0686
0.01025,0.00075,285.121
0.01075,0.00075,285.1761
0.01125,0.00075,285.2341
0.01175,0.00075,285.2949
0.01225,0.00075,285.3586
0.01275,0.00075,285.4253
0.01325,0.00075,285.4949
0.01375,0.00075,285.5674
0.01425,0.00075,285.643
0.01475,0.00075,285.7216
0.01525,0.00075,285.8034
0.01575,0.00075,285.8882
0.01625,0.00075,285.9761
0.01675,0.00075,286.0672
0.01725,0.00075,286.1615
0.01775,0.00075,286.259
0.01825,0.00075,286.3599
0.01875,0.00075,286.4639
0.01925,0.00075,286.5713
0.01975,0.00075,286.6821
0.02025,0.00075,286.7962
0.02075,0.00075,286.9138
0.02125,0.00075,287.0348
0.02175,0.00075,287.1593
0.02225,0.00075,287.2872
0.02275,0.00075,287.4187
0.02325,0.00075,287.5538
0.02375,0.00075,287.6924
0.02425,0.00075,287.8347
0.02475,0.00075,287.9806
0.02525,0.00075,288.1301
0.02575,0.00075,288.2833
0.02625,0.00075,288.4402
0.02675,0.00075,288.6009
0.02725,0.00075,288.7652
0.02775,0.00075,288.9333
0.02825,0.00075,289.1051
0.02875,0.00075,289.2808
0.02925,0.00075,289.4601
0.02975,0.00075,289.6433
0.03025,0.00075,289.8303
0.03075,0.00075,290.0212
0.03125,0.00075,290.2158
0.03175,0.00075,290.4144
0.03225,0.00075,290.6167
0.03275,0.00075,290.823
0.03325,0.00075,291.0332
0.03375,0.00075,291.2473
0.03425,0.00075,291.4653
0.03475,0.00075,291.6873
0.03525,0.00075,291.9132
0.03575,0.00075,292.143
0.03625,0.00075,292.3769
0.03675,0.00075,292.6148
0.03725,0.00075,292.8566
0.03775,0.00075,293.1024
0.03825,0.00075,293.3524
0.03875,0.00075,293.6063
0.03925,0.00075,293.8644
0.03975,0.00075,294.1265
0.04025,0.00075,294.3927
0.04075,0.00075,294.663
0.04125,0.00075,294.9374
0.04175,0.00075,295.2159
0.04225,0.00075,295.4984
0.04275,0.00075,295.785
0.04325,0.00075,296.0757
0.04375,0.00075,296.3701
0.04425,0.00075,296.6684
0.04475,0.00075,296.9702
0.04525,0.00075,297.2755
0.04575,0.00075,297.5836
0.04625,0.00075,297.8941
0.04675,0.00075,298.2062
0.04725,0.00075,298.519
0.04775,0.00075,298.831
0.04825,0.00075,299.1405
0.04875,0.00075,299.4457
0.04925,0.00075,299.7446
0.04975,0.00075,300.0355
0.00025,0.00125,284.5804
0.00075,0.00125,284.5829
0.00125,0.00125,284.588
0.00175,0.00125,284.5955
0.00225,0.00125,284.6056
0.00275,0.00125,284.6182
0.00325,0.00125,284.6336
0.00375,0.00125,284.6514
0.00425,0.00125,284.6717
0.00475,0.00125,284.6947
0.00525,0.00125,284.7202
0.00575,0.00125,284.7484
0.00625,0.00125,284.7791
0.00675,0.00125,284.8125
0.00725,0.00125,284.8485
0.00775,0.00125,284.8872
0.00825,0.00125,284.9286
0.00875,0.00125,284.9727
0.00925,0.00125,285.0194
0.00975,0.00125,285.069
0.01025,0.00125,285.1214
0.01075,0.00125,285.1766
0.01125,0.00125,285.2345
0.01175,0.00125,285.2954
0.01225,0.00125,285.3592
0.01275,0.00125,285.4258
0.01325,0.00125,285.4954
0.01375,0.00125,285.568
0.01425,0.00125,285.6436
0.01475,0.00125,285.7223
0.01525,0.00125,285.8041
0.01575,0.00125,285.8889
0.01625,0.00125,285.9768
0.01675,0.00125,286.068
0.01725,0.00125,286.1624
0.01775,0.00125,286.26
0.01825,0.00125,286.3608
0.01875,0.00125,286.465
0.01925,0.00125,286.5724
0.01975,0.00125,286.6833
0.02025,0.00125,286.7975
0.02075,0.00125,286.9151
0.02125,0.00125,287.0361
0.02175,0.00125,287.1607
0.02225,0.00125,287.2887
0.02275,0.00125,287.4203
0.02325,0.00125,287.5555
0.02375,0.00125,287.6942
0.02425,0.00125,287.8365
0.02475,0.00125,287.9824
0.02525,0.00125,288.132
0.02575,0.00125,288.2854
0.02625,0.00125,288.4424
0.02675,0.00125,288.6031
0.02725,0.00125,288.7675
0.02775,0.00125,288.9357
0.02825,0.00125,289.1076
0.02875,0.00125,289.2834
0.02925,0.00125,289.4629
0.02975,0.00125,289.6462
0.03025,0.00125,289.8333
0.03075,0.00125,290.0242
0.03125,0.00125,290.2189
0.03175,0.00125,290.4175
0.03225,0.00125,290.6201
0.03275,0.00125,290.8264
0.03325,0.00125,291.0367
0.03375,0.00125,291.2509
0.03425,0.00125,291.469
0.03475,0.00125,291.6911
0.03525,0.00125,291.917
0.03575,0.00125,292.147
0.03625,0.00125,292.3809
0.03675,0.00125,292.6188
0.03725,0.00125,292.8607
0.03775,0.00125,293.1067
0.03825,0.00125,293.3566
0.03875,0.00125,293.6107
0.03925,0.00125,293.8689
0.03975,0.00125,294.131
0.04025,0.00125,294.3972
0.04075,0.00125,294.6677
0.04125,0.00125,294.9421
0.04175,0.00125,295.2207
0.04225,0.00125,295.5034
0.04275,0.00125,295.7901
0.04325,0.00125,296.081
0.04375,0.00125,296.3758
0.04425,0.00125,296.6746
0.04475,0.00125,296.977
0.04525,0.00125,297.2831
0.04575,0.00125,297.5924
