x-coordinate,y-coordinate,temperature
0.00025,0.00025,282.9997
0.00075,0.00025,282.9997
0.00125,0.00025,282.9997
0.00175,0.00025,282.9997
0.00225,0.00025,282.9997
0.00275,0.00025,282.9996
0.00325,0.00025,282.9997
0.00375,0.00025,282.9996
0.00425,0.00025,282.9996
0.00475,0.00025,282.9996
0.00525,0.00025,282.9996
0.00575,0.00025,282.9996
0.00625,0.00025,282.9997
0.00675,0.00025,282.9997
0.00725,0.00025,282.9997
0.00775,0.00025,282.9997
0.00825,0.00025,282.9997
0.00875,0.00025,282.9998
0.00925,0.00025,282.9998
0.00975,0.00025,283
0.01025,0.00025,283.0001
0.01075,0.00025,283.0002
0.01125,0.00025,283.0005
0.01175,0.00025,283.0008
0.01225,0.00025,283.0012
0.01275,0.00025,283.0017
0.01325,0.00025,283.0023
0.01375,0.00025,283.0029
0.01425,0.00025,283.0036
0.01475,0.00025,283.0045
0.01525,0.00025,283.0055
0.01575,0.00025,283.0067
0.01625,0.00025,283.008
0.01675,0.00025,283.0095
0.01725,0.00025,283.0113
0.01775,0.00025,283.0132
0.01825,0.00025,283.0154
0.01875,0.00025,283.0179
0.01925,0.00025,283.0208
0.01975,0.00025,283.0239
0.02025,0.00025,283.0276
0.02075,0.00025,283.0317
0.02125,0.00025,283.0362
0.02175,0.00025,283.0413
0.02225,0.00025,283.0471
0.02275,0.00025,283.0534
0.02325,0.00025,283.0605
0.02375,0.00025,283.0684
0.02425,0.00025,283.0771
0.02475,0.00025,283.0869
0.02525,0.00025,283.0977
0.02575,0.00025,283.1096
0.02625,0.00025,283.1228
0.02675,0.00025,283.1374
0.02725,0.00025,283.1534
0.02775,0.00025,283.1711
0.02825,0.00025,283.1904
0.02875,0.00025,283.2117
0.02925,0.00025,283.2349
0.02975,0.00025,283.2604
0.03025,0.00025,283.2882
0.03075,0.00025,283.3186
0.03125,0.00025,283.3516
0.03175,0.00025,283.3875
0.03225,0.00025,283.4265
0.03275,0.00025,283.4689
0.03325,0.00025,283.5149
0.03375,0.00025,283.5646
0.03425,0.00025,283.6184
0.03475,0.00025,283.6764
0.03525,0.00025,283.7389
0.03575,0.00025,283.8062
0.03625,0.00025,283.8786
0.03675,0.00025,283.9563
0.03725,0.00025,284.0397
0.03775,0.00025,284.129
0.03825,0.00025,284.2245
0.03875,0.00025,284.3264
0.03925,0.00025,284.4353
0.03975,0.00025,284.5512
0.04025,0.00025,284.6747
0.04075,0.00025,284.8057
0.04125,0.00025,284.9449
0.04175,0.00025,285.0924
0.04225,0.00025,285.2485
0.04275,0.00025,285.4135
0.04325,0.00025,285.5877
0.04375,0.00025,285.7713
0.04425,0.00025,285.9646
0.04475,0.00025,286.1675
0.04525,0.00025,286.3803
0.04575,0.00025,286.6029
0.04625,0.00025,286.8351
0.04675,0.00025,287.0767
0.04725,0.00025,287.3271
0.04775,0.00025,287.5854
0.04825,0.00025,287.8509
0.04875,0.00025,288.122
0.04925,0.00025,288.3978
0.04975,0.00025,288.677
0.00025,0.00075,282.9997
0.00075,0.00075,282.9997
0.00125,0.00075,282.9997
0.00175,0.00075,282.9996
0.00225,0.00075,282.9997
0.00275,0.00075,282.9996
0.00325,0.00075,282.9996
0.00375,0.00075,282.9996
0.00425,0.00075,282.9995
0.00475,0.00075,282.9995
0.00525,0.00075,282.9996
0.00575,0.00075,282.9996
0.00625,0.00075,282.9996
0.00675,0.00075,282.9996
0.00725,0.00075,282.9996
0.00775,0.00075,282.9997
0.00825,0.00075,282.9997
0.00875,0.00075,282.9998
0.00925,0.00075,282.9998
0.00975,0.00075,282.9999
0.01025,0.00075,283.0001
0.01075,0.00075,283.0002
0.01125,0.00075,283.0005
0.01175,0.00075,283.0008
0.01225,0.00075,283.0012
0.01275,0.00075,283.0016
0.01325,0.00075,283.0022
0.01375,0.00075,283.0029
0.01425,0.00075,283.0036
0.01475,0.00075,283.0044
0.01525,0.00075,283.0054
0.01575,0.00075,283.0066
0.01625,0.00075,283.0079
0.01675,0.00075,283.0095
0.01725,0.00075,283.0112
0.01775,0.00075,283.0132
0.01825,0.00075,283.0154
0.01875,0.00075,283.0179
0.01925,0.00075,283.0207
0.01975,0.00075,283.024
0.02025,0.00075,283.0276
0.02075,0.00075,283.0316
0.02125,0.00075,283.0361
0.02175,0.00075,283.0413
0.02225,0.00075,283.047
0.02275,0.00075,283.0534
0.02325,0.00075,283.0605
0.02375,0.00075,283.0683
0.02425,0.00075,283.0772
0.02475,0.00075,283.0868
0.02525,0.00075,283.0976
0.02575,0.00075,283.1096
0.02625,0.00075,283.1227
0.02675,0.00075,283.1373
0.02725,0.00075,283.1534
0.02775,0.00075,283.171
0.02825,0.00075,283.1903
0.02875,0.00075,283.2116
0.02925,0.00075,283.2348
0.02975,0.00075,283.2603
0.03025,0.00075,283.2881
0.03075,0.00075,283.3184
0.03125,0.00075,283.3514
0.03175,0.00075,283.3873
0.03225,0.00075,283.4264
0.03275,0.00075,283.4688
0.03325,0.00075,283.5147
0.03375,0.00075,283.5644
0.03425,0.00075,283.6182
0.03475,0.00075,283.6761
0.03525,0.00075,283.7387
0.03575,0.00075,283.8059
0.03625,0.00075,283.8783
0.03675,0.00075,283.956
0.03725,0.00075,284.0393
0.03775,0.00075,284.1286
0.03825,0.00075,284.224
0.03875,0.00075,284.326
0.03925,0.00075,284.4348
0.03975,0.00075,284.5508
0.04025,0.00075,284.674
0.04075,0.00075,284.8051
0.04125,0.00075,284.9443
0.04175,0.00075,285.0917
0.04225,0.00075,285.2478
0.04275,0.00075,285.4128
0.04325,0.00075,285.5871
0.04375,0.00075,285.7707
0.04425,0.00075,285.9641
0.04475,0.00075,286.1671
0.04525,0.00075,286.3802
0.04575,0.00075,286.6031
0.04625,0.00075,286.8359
0.04675,0.00075,287.0781
0.04725,0.00075,287.3294
0.04775,0.00075,287.589
0.04825,0.00075,287.8557
0.04875,0.00075,288.1282
0.04925,0.00075,288.4051
0.04975,0.00075,288.6849
0.00025,0.00125,282.9997
0.00075,0.00125,282.9997
0.00125,0.00125,282.9997
0.00175,0.00125,282.9996
0.00225,0.00125,282.9996
0.00275,0.00125,282.9996
0.00325,0.00125,282.9996
0.00375,0.00125,282.9996
0.00425,0.00125,282.9996
0.00475,0.00125,282.9996
0.00525,0.00125,282.9996
0.00575,0.00125,282.9996
0.00625,0.00125,282.9996
0.00675,0.00125,282.9996
0.00725,0.00125,282.9996
0.00775,0.00125,282.9996
0.00825,0.00125,282.9997
0.00875,0.00125,282.9997
0.00925,0.00125,282.9998
0.00975,0.00125,282.9998
0.01025,0.00125,283
0.01075,0.00125,283.0002
0.01125,0.00125,283.0004
0.01175,0.00125,283.0007
0.01225,0.00125,283.0011
0.01275,0.00125,283.0016
0.01325,0.00125,283.0021
0.01375,0.00125,283.0028
0.01425,0.00125,283.0036
0.01475,0.00125,283.0044
0.01525,0.00125,283.0054
0.01575,0.00125,283.0066
0.01625,0.00125,283.0079
0.01675,0.00125,283.0094
0.01725,0.00125,283.0111
0.01775,0.00125,283.0131
0.01825,0.00125,283.0153
0.01875,0.00125,283.0178
0.01925,0.00125,283.0206
0.01975,0.00125,283.0238
0.02025,0.00125,283.0275
0.02075,0.00125,283.0315
0.02125,0.00125,283.036
0.02175,0.00125,283.0411
0.02225,0.00125,283.0468
0.02275,0.00125,283.0533
0.02325,0.00125,283.0604
0.02375,0.00125,283.0683
0.02425,0.00125,283.077
0.02475,0.00125,283.0867
0.02525,0.00125,283.0975
0.02575,0.00125,283.1094
0.02625,0.00125,283.1227
0.02675,0.00125,283.1372
0.02725,0.00125,283.1532
0.02775,0.00125,283.1708
0.02825,0.00125,283.1902
0.02875,0.00125,283.2114
0.02925,0.00125,283.2346
0.02975,0.00125,283.2601
0.03025,0.00125,283.2878
0.03075,0.00125,283.3181
0.03125,0.00125,283.3511
0.03175,0.00125,283.387
0.03225,0.00125,283.4261
0.03275,0.00125,283.4684
0.03325,0.00125,283.5143
0.03375,0.00125,283.564
0.03425,0.00125,283.6177
0.03475,0.00125,283.6757
0.03525,0.00125,283.7381
0.03575,0.00125,283.8053
0.03625,0.00125,283.8776
0.03675,0.00125,283.9553
0.03725,0.00125,284.0386
0.03775,0.00125,284.1278
0.03825,0.00125,284.2232
0.03875,0.00125,284.3252
0.03925,0.00125,284.4338
0.03975,0.00125,284.5496
0.04025,0.00125,284.6729
0.04075,0.00125,284.8039
0.04125,0.00125,284.9431
0.04175,0.00125,285.0904
0.04225,0.00125,285.2465
0.04275,0.00125,285.4115
0.04325,0.00125,285.5857
0.04375,0.00125,285.7694
0.04425,0.00125,285.9629
0.04475,0.00125,286.1663
0.04525,0.00125,286.3797
0.04575,0.00125,286.6033
0.04625,0.00125,286.8372
0.04675,0.00125,287.0808
0.04725,0.00125,287.334
0.04775,0.00125,287.5958
0.04825,0.00125,287.8653
0.04875,0.00125,288.1407
0.04925,0.00125,288.42
0.04975,0.00125,288.7014
0.00025,0.00175,282.9997
0.00075,0.00175,282.9997
0.00125,0.00175,282.9997
0.00175,0.00175,282.9997
0.00225,0.00175,282.9996
0.00275,0.00175,282.9996
0.00325,0.00175,282.9996
0.00375,0.00175,282.9996
0.00425,0.00175,282.9996
0.00475,0.00175,282.9995
0.00525,0.00175,282.9996
0.00575,0.00175,282.9995
0.00625,0.00175,282.9995
0.00675,0.00175,282.9995
0.00725,0.00175,282.9995
0.00775,0.00175,282.9995
0.00825,0.00175,282.9996
0.00875,0.00175,282.9996
0.00925,0.00175,282.9997
0.00975,0.00175,282.9998
0.01025,0.00175,282.9999
0.01075,0.00175,283.0001
0.01125,0.00175,283.0004
0.01175,0.00175,283.0007
0.01225,0.00175,283.001
0.01275,0.00175,283.0015
0.01325,0.00175,283.002
0.01375,0.00175,283.0027
0.01425,0.00175,283.0034
0.01475,0.00175,283.0043
0.01525,0.00175,283.0053
0.01575,0.00175,283.0065
0.01625,0.00175,283.0077
0.01675,0.00175,283.0093
0.01725,0.00175,283.011
0.01775,0.00175,283.013
0.01825,0.00175,283.0151
0.01875,0.00175,283.0177
0.01925,0.00175,283.0205
0.01975,0.00175,283.0237
0.02025,0.00175,283.0273
0.02075,0.00175,283.0313
0.02125,0.00175,283.0359
0.02175,0.00175,283.041
0.02225,0.00175,283.0467
